class,image_path,name,xmax,xmin,ymax,ymin,confidence
7,ffec05b841277940e40de657722e6892.jpg,BAD_BILLBOARD,917.3167724609375,828.95458984375,226.5227508544922,166.1362762451172,0.7400548458099365
7,ffec05b841277940e40de657722e6892.jpg,BAD_BILLBOARD,960.0,872.707275390625,223.0711669921875,155.25003051757812,0.7236397862434387
0,ffe097c41e8ecfd403bad97ec728ab4c.jpg,GRAFFITI,280.94891357421875,169.51866149902344,221.4905548095703,152.13287353515625,0.7244541645050049
3,ffe097c41e8ecfd403bad97ec728ab4c.jpg,GARBAGE,547.9562377929688,487.8467102050781,290.2791442871094,239.31639099121094,0.6148239970207214
2,ffe097c41e8ecfd403bad97ec728ab4c.jpg,POTHOLES,650.742919921875,508.08587646484375,319.0102233886719,234.83892822265625,0.5934804081916809
9,ffd8089216c7915c927a7203ece10f8d.jpg,CLUTTER_SIDEWALK,700.3855590820312,0.0,528.40478515625,188.84896850585938,0.7808557152748108
3,ffd8089216c7915c927a7203ece10f8d.jpg,GARBAGE,240.90065002441406,75.45947265625,416.085205078125,317.0138244628906,0.5319280028343201
4,ffbdec8087e32cf3fae7e7d00eefbae6.jpg,CONSTRUCTION_ROAD,436.4638366699219,0.0,376.2113342285156,106.2458267211914,0.7360197901725769
4,ffbdec8087e32cf3fae7e7d00eefbae6.jpg,CONSTRUCTION_ROAD,693.788818359375,197.5717315673828,382.9091491699219,86.0673599243164,0.7222539186477661
3,ff8e79d02cd5209d5340278081239b57.jpg,GARBAGE,870.7938232421875,784.4771118164062,350.76861572265625,284.4180603027344,0.7233721613883972
,ff70d044ebc529c4664193f29a1981d6.jpg,,,,,,
7,ff306c2bc77378f8f66dde8dee70f167.jpg,BAD_BILLBOARD,730.7316284179688,464.63275146484375,189.32473754882812,82.68700408935547,0.80781090259552
3,ff306c2bc77378f8f66dde8dee70f167.jpg,GARBAGE,391.35894775390625,314.7508544921875,222.944580078125,172.69261169433594,0.7408980131149292
